Mach,CD Power-Off
7.98,0.362242038
7.99,0.362081918
8,0.361922213
8.01,0.361762934
8.02,0.361604067
8.03,0.361445634
8.04,0.361287598
8.05,0.361129993
8.06,0.360972795
8.07,0.360816012
8.08,0.360659632
8.09,0.360503667
8.1,0.360348111
8.11,0.360192957
8.12,0.360038209
8.13,0.359883858
8.14,0.359729913
8.15,0.359576372
8.16,0.359423235
8.17,0.359270486
8.18,0.359118128
8.19,0.35896617
8.2,0.358814617
8.21,0.358663438
8.22,0.358512656
8.23,0.358362267
8.24,0.358212256
8.25,0.358062635
8.26,0.357913396
8.27,0.357764541
8.28,0.357616074
8.29,0.35746798
8.3,0.357320269
8.31,0.357172942
8.32,0.357025984
8.33,0.356879394
8.34,0.356733183
8.35,0.356587349
8.36,0.356441879
8.37,0.356296793
8.38,0.356152061
8.39,0.356007699
8.4,0.355863709
8.41,0.355720075
8.42,0.355576809
8.43,0.3554339
8.44,0.355291356
8.45,0.355149174
8.46,0.355007348
8.47,0.354865869
8.48,0.354724753
8.49,0.354583995
8.5,0.354443584
8.51,0.35430353
8.52,0.35416382
8.53,0.354024465
8.54,0.353885462
8.55,0.353746801
8.56,0.353608479
8.57,0.353470507
8.58,0.353332884
8.59,0.353195596
8.6,0.353058654
8.61,0.352922046
8.62,0.352785781
8.63,0.352649849
8.64,0.352514257
8.65,0.352378997
8.66,0.352244072
8.67,0.352109487
8.68,0.351975227
8.69,0.351841293
8.7,0.351707693
8.71,0.351574426
8.72,0.351441471
8.73,0.351308857
8.74,0.351176562
8.75,0.351044585
8.76,0.350912946
8.77,0.350781613
8.78,0.350650606
8.79,0.350519914
8.8,0.350389552
8.81,0.350259494
8.82,0.350129759
8.83,0.350000331
8.84,0.349871233
8.85,0.349742431
8.86,0.349613948
8.87,0.34948578
8.88,0.349357917
8.89,0.349230356
8.9,0.349103109
8.91,0.348976165
8.92,0.34884953
8.93,0.348723204
8.94,0.348597178
8.95,0.348471449
8.96,0.348346026
8.97,0.348220899
8.98,0.348096077
8.99,0.347971547
9,0.347847321
9.01,0.347723385
9.02,0.34759975
9.03,0.347476408
9.04,0.347353361
9.05,0.347230602
9.06,0.34710813
9.07,0.346985955
9.08,0.346864074
9.09,0.346742476
9.1,0.346621162
9.11,0.346500142
9.12,0.3463794
9.13,0.346258948
9.14,0.346138777
9.15,0.346018893
9.16,0.345899288
9.17,0.345779957
9.18,0.345660913
9.19,0.345542154
9.2,0.345423668
9.21,0.345305455
9.22,0.345187523
9.23,0.345069864
9.24,0.344952484
9.25,0.344835372
9.26,0.34471853
9.27,0.344601965
9.28,0.344485666
9.29,0.344369644
9.3,0.344253886
9.31,0.344138401
9.32,0.344023182
9.33,0.343908224
9.34,0.343793537
9.35,0.343679119
9.36,0.343564963
9.37,0.343451065
9.38,0.343337425
9.39,0.343224052
9.4,0.343110947
9.41,0.342998096
9.42,0.342885499
9.43,0.342773157
9.44,0.342661088
9.45,0.342549261
9.46,0.342437695
9.47,0.342326381
9.48,0.342215327
9.49,0.34210452
9.5,0.341993973
9.51,0.341883673
9.52,0.341773618
9.53,0.341663821
9.54,0.341554269
9.55,0.34144496
9.56,0.341335904
9.57,0.341227103
9.58,0.341118541
9.59,0.341010213
9.6,0.340902143
9.61,0.340794315
9.62,0.340686724
9.63,0.340579382
9.64,0.340472276
9.65,0.34036542
9.66,0.340258786
9.67,0.340152409
9.68,0.340046256
9.69,0.339940348
9.7,0.33983468
9.71,0.339729238
9.72,0.339624034
9.73,0.339519073
9.74,0.339414341
9.75,0.339309837
9.76,0.339205572
9.77,0.339101537
9.78,0.338997727
9.79,0.338894154
9.8,0.338790807
9.81,0.338687694
9.82,0.338584807
9.83,0.338482142
9.84,0.338379701
9.85,0.33827749
9.86,0.338175513
9.87,0.338073745
9.88,0.337972209
9.89,0.3378709
9.9,0.337769802
9.91,0.337668942
9.92,0.337568288
9.93,0.337467861
9.94,0.337367651
9.95,0.337267666
9.96,0.337167895
9.97,0.337068339
9.98,0.336969007
9.99,0.336869886
10,0.336770978
10.01,0.3367408
10.02,0.336706772
10.03,0.336672819
10.04,0.336638951
10.05,0.33660516
10.06,0.336571443
10.07,0.336537812
10.08,0.336504256
10.09,0.336470785
10.1,0.336437376
10.11,0.336404053
10.12,0.336370814
10.13,0.336337647
10.14,0.336304555
10.15,0.336271536
10.16,0.336238599
10.17,0.336205735
10.18,0.336172953
10.19,0.336140232
10.2,0.336107595
10.21,0.336075038
10.22,0.336042553
10.23,0.336010141
10.24,0.335977797
10.25,0.335945534
10.26,0.335913342
10.27,0.335881221
10.28,0.335849181
10.29,0.335817208
10.3,0.335785315
10.31,0.335753483
10.32,0.335721729
10.33,0.335690053
10.34,0.335658437
10.35,0.335626899
10.36,0.33559544
10.37,0.335564037
10.38,0.335532712
10.39,0.335501457
10.4,0.335470278
10.41,0.335439165
10.42,0.335408119
10.43,0.33537715
